player_name,Season,round_number,fantasy_points,CBAs,total_CBAs,CBA_percentage,TOG,kick_ins,kicks,handballs,disposals,marks,tackles,contestedMarks,uncontestedMarks,goals,behinds,hitouts,contestedPossessions,uncontestedPossessions,freesFor,freesAgainst,clangers,turnovers,rebound50s,inside50s,hitoutWinPercentage,disposalEfficiency,kick_efficiency,ruck_contests_attended,team,total_kick_ins,opposition_team,venue,start_time,temperature,conditions,kick_in_percentage,position,dob,height,weight,fantasy_defender_status,fantasy_midfield_status,fantasy_ruck_status,fantasy_forward_status,games_played
Aaron Black,2022,Round 2,67,2,22,9.09,75,0,11,4,15,4,2,0,4,1,0,0,5,9,0,0,0,2,0,3,0,66.7,54.5,0,West Coast Eagles,14,North Melbourne,Marvel Stadium,2022-03-27T13:10:00,28,SUNNY,0,MEDIUM_FORWARD,1992-12-25,181,81,FALSE,TRUE,FALSE,FALSE,2
Aaron Black,2022,Round 2,67,2,22,9.09,75,0,11,4,15,4,2,0,4,1,0,0,5,9,0,0,0,2,0,3,0,66.7,54.5,0,West Coast Eagles,14,North Melbourne,Marvel Stadium,2022-03-27T13:10:00,28,SUNNY,0,MEDIUM_FORWARD,1992-12-25,181,81,TRUE,TRUE,FALSE,FALSE,2
Aaron Francis,2022,Round 2,43,0,29,0,75,0,4,7,11,6,0,0,6,0,2,0,2,10,0,1,1,2,0,1,0,54.5,25,0,Essendon,7,Brisbane Lions,Marvel Stadium,2022-03-26T16:35:00,24,MOSTLY_SUNNY,0,KEY_FORWARD,1997-08-10,193,92,TRUE,FALSE,FALSE,FALSE,4
Aaron Francis,2022,Round 8,63,0,31,0,82,0,6,3,9,5,3,2,3,2,0,0,4,5,0,0,5,3,0,4,0,66.7,66.7,0,Essendon,15,Hawthorn,Marvel Stadium,2022-05-07T19:25:00,15,RAIN,0,KEY_FORWARD,1997-08-10,193,92,TRUE,FALSE,FALSE,FALSE,4
Aaron Francis,2022,Round 9,25,0,24,0,84,0,3,1,4,2,0,0,2,1,1,0,3,3,1,0,1,0,0,1,0,75,66.7,0,Essendon,21,Sydney Swans,SCG,2022-05-14T19:25:00,26,MOSTLY_SUNNY,0,KEY_FORWARD,1997-08-10,193,92,TRUE,FALSE,FALSE,FALSE,4
Aaron Francis,2022,Round 10,31,0,22,0,80,0,2,2,4,3,3,0,3,1,0,0,0,4,0,2,3,3,0,2,0,75,50,0,Essendon,14,Richmond,MCG,2022-05-21T19:30:00,15,OVERCAST,0,KEY_FORWARD,1997-08-10,193,92,TRUE,FALSE,FALSE,FALSE,4
Aaron Hall,2022,Round 1,125,0,23,0,90,6,26,5,31,11,1,1,10,0,0,0,6,20,0,0,3,8,8,6,0,80.6,80.8,0,North Melbourne,12,Hawthorn,MCG,2022-03-20T13:10:00,24,MOSTLY_SUNNY,50,MEDIUM_DEFENDER,1990-11-09,185,85,TRUE,FALSE,FALSE,FALSE,8
Aaron Hall,2022,Round 2,92,0,22,0,84,3,15,11,26,7,1,0,7,0,0,0,7,17,0,0,1,4,7,5,0,80.8,86.7,0,North Melbourne,11,West Coast Eagles,Marvel Stadium,2022-03-27T13:10:00,28,SUNNY,27.27,MEDIUM_DEFENDER,1990-11-09,185,85,TRUE,FALSE,FALSE,FALSE,8
Aaron Hall,2022,Round 3,86,0,34,0,84,8,19,6,25,1,2,0,1,1,0,0,4,12,0,0,7,7,8,0,0,60,57.9,0,North Melbourne,18,Brisbane Lions,Gabba,2022-04-02T19:00:00,18,MOSTLY_SUNNY,44.44,MEDIUM_DEFENDER,1990-11-09,185,85,TRUE,FALSE,FALSE,FALSE,8
Aaron Hall,2022,Round 4,95,0,29,0,84,6,22,3,25,7,2,0,7,0,0,0,3,16,0,2,5,6,9,4,0,88,86.4,0,North Melbourne,8,Sydney Swans,SCG,2022-04-09T14:40:00,24,RAIN,75,MEDIUM_DEFENDER,1990-11-09,185,85,TRUE,FALSE,FALSE,FALSE,8
Aaron Hall,2022,Round 5,50,0,36,0,43,2,8,6,14,0,3,0,0,0,1,0,4,9,1,0,1,4,4,2,0,71.4,75,0,North Melbourne,13,Western Bulldogs,Marvel Stadium,2022-04-15T16:20:00,24,MOSTLY_SUNNY,15.38,MEDIUM_DEFENDER,1990-11-09,185,85,TRUE,FALSE,FALSE,FALSE,8
Aaron Hall,2022,Round 13,77,0,26,0,76,6,16,3,19,5,2,1,4,0,0,0,4,11,0,0,1,3,6,2,0,84.2,81.3,0,North Melbourne,12,GWS Giants,Marvel Stadium,2022-06-12T15:20:00,13,RAIN,50,MEDIUM_DEFENDER,1990-11-09,185,85,TRUE,FALSE,FALSE,FALSE,8
Aaron Hall,2022,Round 15,124,0,29,0,84,11,30,8,38,3,2,0,3,0,0,0,9,21,1,0,6,10,10,8,0,71.1,73.3,0,North Melbourne,13,Adelaide Crows,Blundstone Arena,2022-06-26T13:10:00,11,RAIN,84.62,MEDIUM_DEFENDER,1990-11-09,185,85,TRUE,FALSE,FALSE,FALSE,8
