player_name,Season,round_number,fantasy_points,CBAs,total_CBAs,CBA_percentage,TOG,kick_ins,kicks,handballs,disposals,marks,tackles,contestedMarks,uncontestedMarks,goals,behinds,hitouts,contestedPossessions,uncontestedPossessions,freesFor,freesAgainst,clangers,turnovers,disposalEfficiency,kick_efficiency,ruck_contests_attended,team,total_kick_ins,opposition_team,venue,start_time,temperature,conditions,kick_in_percentage,position,dob,height,weight,fantasy_defender_status,fantasy_midfield_status,fantasy_ruck_status,fantasy_forward_status,games_played
Aaron Francis,2021,Round 1,44,0,31,0,86,0,5,9,14,3,1,1,2,0,0,0,6,8,1,1,4,3,78.6,60,0,Essendon,8,Hawthorn,Marvel Stadium,2021-03-20T19:25:00,26,MOSTLY_SUNNY,0,KEY_FORWARD,1997-08-10,193,92,TRUE,FALSE,FALSE,FALSE,14
Aaron Francis,2021,Round 2,41,0,31,0,93,0,6,3,9,5,1,0,5,0,0,0,2,8,1,1,2,2,88.9,83.3,0,Essendon,11,Port Adelaide,Adelaide Oval,2021-03-27T16:05:00,18,MOSTLY_SUNNY,0,KEY_FORWARD,1997-08-10,193,92,TRUE,FALSE,FALSE,FALSE,14
Aaron Francis,2021,Round 3,98,0,35,0,88,0,12,8,20,10,4,0,10,0,0,0,1,18,0,0,0,2,100,100,0,Essendon,14,St Kilda,Marvel Stadium,2021-04-03T16:35:00,32,SUNNY,0,KEY_FORWARD,1997-08-10,193,92,TRUE,FALSE,FALSE,FALSE,14
Aaron Francis,2021,Round 4,38,0,27,0,87,0,6,5,11,3,2,0,3,0,0,0,5,7,2,3,5,1,81.8,83.3,0,Essendon,17,Sydney Swans,SCG,2021-04-08T19:20:00,26,RAIN,0,KEY_FORWARD,1997-08-10,193,92,TRUE,FALSE,FALSE,FALSE,14
Aaron Francis,2021,Round 5,45,0,25,0,90,0,6,8,14,3,0,0,3,0,0,0,8,6,2,0,1,6,57.1,66.7,0,Essendon,12,Brisbane Lions,Gabba,2021-04-17T19:25:00,25,THUNDERSTORMS,0,KEY_FORWARD,1997-08-10,193,92,TRUE,FALSE,FALSE,FALSE,14
Aaron Francis,2021,Round 6,27,0,33,0,35,1,5,0,5,4,0,0,4,0,0,0,0,4,0,0,1,1,80,80,0,Essendon,7,Collingwood,MCG,2021-04-25T15:20:00,17,RAIN,14.29,KEY_FORWARD,1997-08-10,193,92,TRUE,FALSE,FALSE,FALSE,14
Aaron Francis,2021,Round 8,53,0,36,0,89,0,8,6,14,5,1,0,5,0,0,0,3,11,1,1,1,2,92.9,87.5,0,Essendon,11,GWS Giants,GIANTS Stadium,2021-05-08T14:10:00,25,MOSTLY_SUNNY,0,KEY_FORWARD,1997-08-10,193,92,TRUE,FALSE,FALSE,FALSE,14
Aaron Francis,2021,Round 9,58,0,22,0,94,0,8,7,15,5,1,0,5,0,0,0,5,9,1,0,4,4,73.3,87.5,0,Essendon,13,Fremantle,Marvel Stadium,2021-05-16T13:10:00,16,RAIN,0,KEY_FORWARD,1997-08-10,193,92,TRUE,FALSE,FALSE,FALSE,14
Aaron Francis,2021,Round 10,45,0,36,0,84,0,4,9,13,6,0,0,6,0,0,0,7,7,0,1,2,0,100,100,0,Essendon,9,North Melbourne,Marvel Stadium,2021-05-23T16:40:00,20,MOSTLY_SUNNY,0,KEY_FORWARD,1997-08-10,193,92,TRUE,FALSE,FALSE,FALSE,14
Aaron Francis,2021,Round 12,16,0,35,0,77,0,2,1,3,2,1,0,2,0,0,0,1,2,1,1,1,0,100,100,0,Essendon,9,Richmond,Optus Stadium,2021-06-05T17:40:00,18,MOSTLY_SUNNY,0,KEY_FORWARD,1997-08-10,193,92,TRUE,FALSE,FALSE,FALSE,14
Aaron Francis,2021,Round 20,40,0,37,0,85,0,7,3,10,4,1,2,2,0,1,0,4,6,2,2,6,6,70,57.1,0,Essendon,7,Sydney Swans,MCG,2021-08-01T15:10:00,15,RAIN,0,KEY_FORWARD,1997-08-10,193,92,TRUE,FALSE,FALSE,FALSE,14
Aaron Francis,2021,Round 21,62,0,31,0,88,0,8,0,8,7,1,3,4,2,0,0,4,4,1,0,3,4,87.5,87.5,0,Essendon,12,Western Bulldogs,Marvel Stadium,2021-08-08T15:20:00,16,OVERCAST,0,KEY_FORWARD,1997-08-10,193,92,TRUE,FALSE,FALSE,FALSE,14
Aaron Francis,2021,Round 22,56,0,22,0,81,0,9,6,15,5,0,2,3,0,2,0,6,10,3,1,3,2,73.3,66.7,0,Essendon,6,Gold Coast Suns,GMHBA Stadium,2021-08-15T15:20:00,19,MOSTLY_SUNNY,0,KEY_FORWARD,1997-08-10,193,92,TRUE,FALSE,FALSE,FALSE,14
Aaron Francis,2021,Round 23,41,0,29,0,81,0,6,3,9,5,0,1,4,0,1,1,2,7,0,0,2,3,77.8,66.7,1,Essendon,10,Collingwood,MCG,2021-08-22T15:20:00,21,SUNNY,0,KEY_FORWARD,1997-08-10,193,92,TRUE,FALSE,FALSE,FALSE,14
Aaron Hall,2021,Round 2,11,0,23,0,5,0,1,2,3,0,1,0,0,0,0,0,1,2,0,0,1,0,66.7,0,0,North Melbourne,14,Gold Coast Suns,Metricon Stadium,2021-03-27T19:10:00,18,MOSTLY_SUNNY,0,MEDIUM_DEFENDER,1990-11-09,185,85,TRUE,FALSE,FALSE,FALSE,20
Aaron Hall,2021,Round 3,99,0,34,0,85,2,15,8,23,9,2,0,9,1,0,0,4,18,0,1,5,8,78.3,66.7,0,North Melbourne,17,Western Bulldogs,Marvel Stadium,2021-04-02T16:20:00,29,SUNNY,11.76,MEDIUM_DEFENDER,1990-11-09,185,85,TRUE,FALSE,FALSE,FALSE,20
