player_name,team,position,dob,height,weight,fantasy_defender_status,fantasy_midfield_status,fantasy_ruck_status,fantasy_forward_status
Tom Doedee,Adelaide Crows,KEY_DEFENDER,1997-03-01,187,90,TRUE,FALSE,FALSE,FALSE
Lachlan Murphy,Adelaide Crows,MEDIUM_FORWARD,1998-12-04,175,81,FALSE,FALSE,FALSE,TRUE
Mitchell Hinge,Adelaide Crows,MEDIUM_DEFENDER,1998-06-26,189,91,TRUE,FALSE,FALSE,FALSE
Jordon Butts,Adelaide Crows,KEY_DEFENDER,1999-12-31,198,97,TRUE,FALSE,FALSE,FALSE
Elliott Himmelberg,Adelaide Crows,KEY_FORWARD,1998-06-04,200,99,FALSE,FALSE,FALSE,TRUE
Lachlan Sholl,Adelaide Crows,MIDFIELDER,2000-03-07,186,82,FALSE,TRUE,FALSE,FALSE
Chayce Jones,Adelaide Crows,MEDIUM_DEFENDER,2000-01-14,180,82,TRUE,FALSE,FALSE,FALSE
Will Hamill,Adelaide Crows,MEDIUM_DEFENDER,2000-11-17,185,81,TRUE,FALSE,FALSE,FALSE
Ned McHenry,Adelaide Crows,MEDIUM_FORWARD,2000-07-13,178,74,FALSE,FALSE,FALSE,TRUE
Nick Murray,Adelaide Crows,KEY_DEFENDER,2000-12-18,194,98,TRUE,FALSE,FALSE,FALSE
Riley Thilthorpe,Adelaide Crows,KEY_FORWARD,2002-07-07,202,105,FALSE,FALSE,FALSE,TRUE
Harry Schoenberg,Adelaide Crows,MIDFIELDER,2001-02-21,183,83,FALSE,TRUE,FALSE,FALSE
Kieran Strachan,Adelaide Crows,RUCK,1995-10-05,204,103,FALSE,FALSE,TRUE,FALSE
James Borlase,Adelaide Crows,KEY_DEFENDER,2002-07-18,192,100,TRUE,FALSE,FALSE,FALSE
Fischer McAsey,Adelaide Crows,KEY_DEFENDER,2001-03-08,198,98,TRUE,FALSE,FALSE,FALSE
Josh Worrell,Adelaide Crows,MEDIUM_DEFENDER,2001-04-11,194,88,TRUE,FALSE,FALSE,FALSE
Luke Pedlar,Adelaide Crows,MEDIUM_FORWARD,2002-05-17,184,84,FALSE,TRUE,FALSE,TRUE
Sam Berry,Adelaide Crows,MIDFIELDER,2002-02-12,182,86,FALSE,FALSE,FALSE,TRUE
Patrick Parnell,Adelaide Crows,MEDIUM_DEFENDER,2002-03-04,177,71,TRUE,FALSE,FALSE,FALSE
Tariek Newchurch,Adelaide Crows,MEDIUM_FORWARD,2002-07-21,182,79,FALSE,FALSE,FALSE,TRUE
Josh Rachele,Adelaide Crows,MEDIUM_FORWARD,2003-04-11,180,80,FALSE,TRUE,FALSE,TRUE
Zac Taylor,Adelaide Crows,MIDFIELDER,2003-01-31,182,79,FALSE,TRUE,FALSE,FALSE
Jake Soligo,Adelaide Crows,MIDFIELDER_FORWARD,2003-01-25,180,77,FALSE,TRUE,FALSE,FALSE
Lachlan Gollant,Adelaide Crows,KEY_FORWARD,2001-09-12,192,85,FALSE,FALSE,FALSE,TRUE
Brayden Cook,Adelaide Crows,MIDFIELDER,2002-07-18,190,87,FALSE,TRUE,FALSE,FALSE
Luke Nankervis,Adelaide Crows,MEDIUM_FORWARD,2003-05-25,191,77,FALSE,TRUE,FALSE,TRUE
Rory Sloane,Adelaide Crows,MIDFIELDER,1990-03-17,183,82,FALSE,TRUE,FALSE,FALSE
Taylor Walker,Adelaide Crows,KEY_FORWARD,1990-04-25,194,102,FALSE,FALSE,FALSE,TRUE
Brodie Smith,Adelaide Crows,MEDIUM_DEFENDER,1992-01-14,189,88,TRUE,FALSE,FALSE,FALSE
Luke Brown,Adelaide Crows,MEDIUM_DEFENDER,1992-09-22,181,81,TRUE,FALSE,FALSE,FALSE
Rory Laird,Adelaide Crows,MIDFIELDER,1993-12-29,178,78,FALSE,TRUE,FALSE,FALSE
Paul Seedsman,Adelaide Crows,MIDFIELDER,1992-01-22,190,84,FALSE,TRUE,FALSE,FALSE
Matt Crouch,Adelaide Crows,MIDFIELDER,1995-04-21,182,80,FALSE,TRUE,FALSE,FALSE
Reilly O'Brien,Adelaide Crows,RUCK,1995-08-20,203,105,FALSE,FALSE,TRUE,FALSE
Ben Davis,Adelaide Crows,MEDIUM_FORWARD,1997-05-19,188,90,TRUE,FALSE,FALSE,TRUE
Shane McAdam,Adelaide Crows,MEDIUM_FORWARD,1995-05-28,183,82,FALSE,FALSE,FALSE,TRUE
Wayne Milera,Adelaide Crows,MEDIUM_DEFENDER,1997-09-14,184,86,TRUE,FALSE,FALSE,FALSE
Billy Frampton,Adelaide Crows,KEY_DEFENDER,1996-11-20,201,99,FALSE,FALSE,FALSE,TRUE
Jordan Dawson,Adelaide Crows,MEDIUM_DEFENDER,1997-04-09,192,86,TRUE,TRUE,FALSE,FALSE
Ben Keays,Adelaide Crows,MIDFIELDER,1997-02-23,186,89,FALSE,TRUE,FALSE,FALSE
Andrew McPherson,Adelaide Crows,MEDIUM_DEFENDER,1999-06-20,187,86,TRUE,FALSE,FALSE,FALSE
Jackson Hately,Adelaide Crows,MIDFIELDER_FORWARD,2000-10-21,191,85,FALSE,TRUE,FALSE,FALSE
James Rowe,Adelaide Crows,MEDIUM_FORWARD,1999-09-17,173,75,FALSE,FALSE,FALSE,TRUE
Darcy Fogarty,Adelaide Crows,KEY_FORWARD,1999-09-25,194,99,FALSE,FALSE,FALSE,TRUE
Hugh McCluggage,Brisbane Lions,MIDFIELDER,1998-03-03,185,86,FALSE,TRUE,FALSE,FALSE
Cam Rayner,Brisbane Lions,MIDFIELDER_FORWARD,1999-10-21,186,94,FALSE,TRUE,FALSE,TRUE
Zac Bailey,Brisbane Lions,MIDFIELDER_FORWARD,1999-09-23,182,84,FALSE,TRUE,FALSE,TRUE
Jack Payne,Brisbane Lions,KEY_DEFENDER,1999-10-15,197,105,TRUE,FALSE,FALSE,FALSE
Brandon Starcevich,Brisbane Lions,MEDIUM_DEFENDER,1999-07-24,187,92,TRUE,FALSE,FALSE,FALSE
Noah Answerth,Brisbane Lions,MEDIUM_DEFENDER,1999-08-06,183,85,TRUE,FALSE,FALSE,FALSE
Oscar McInerney,Brisbane Lions,RUCK,1994-07-10,204,110,FALSE,FALSE,TRUE,FALSE
Ely Smith,Brisbane Lions,MIDFIELDER_FORWARD,2000-09-13,187,91,FALSE,TRUE,FALSE,TRUE
Keidean Coleman,Brisbane Lions,MEDIUM_DEFENDER,2000-03-31,182,81,TRUE,FALSE,FALSE,TRUE
Connor McFadyen,Brisbane Lions,MEDIUM_FORWARD,2000-12-04,190,95,FALSE,TRUE,FALSE,TRUE
Thomas Berry,Brisbane Lions,MEDIUM_FORWARD,2000-05-01,185,81,FALSE,FALSE,FALSE,TRUE
Harry Sharp,Brisbane Lions,MIDFIELDER,2002-12-17,182,74,FALSE,TRUE,FALSE,FALSE
Deven Robertson,Brisbane Lions,MIDFIELDER_FORWARD,2001-06-30,185,85,FALSE,TRUE,FALSE,FALSE
Jaxon Prior,Brisbane Lions,MIDFIELDER,2001-06-04,189,85,FALSE,TRUE,FALSE,FALSE
Blake Coleman,Brisbane Lions,MEDIUM_FORWARD,2002-08-06,182,82,FALSE,FALSE,FALSE,TRUE
Carter Michael,Brisbane Lions,MIDFIELDER,2002-05-22,188,83,TRUE,FALSE,FALSE,FALSE
Tom Fullarton,Brisbane Lions,KEY_FORWARD,1999-02-23,200,98,FALSE,FALSE,FALSE,TRUE
James Madden,Brisbane Lions,MEDIUM_DEFENDER,1999-11-15,188,88,TRUE,FALSE,FALSE,FALSE
Kai Lohmann,Brisbane Lions,MEDIUM_FORWARD,2003-05-06,185,77,FALSE,FALSE,FALSE,TRUE
Henry Smith,Brisbane Lions,RUCK,2002-09-24,206,104,FALSE,FALSE,FALSE,TRUE
Darcy Wilmot,Brisbane Lions,MEDIUM_DEFENDER,2003-12-31,183,75,TRUE,FALSE,FALSE,FALSE
Kalin Lane,Brisbane Lions,RUCK,2001-12-05,205,102,FALSE,FALSE,TRUE,FALSE
James Tunstill,Brisbane Lions,MIDFIELDER,2003-07-18,187,75,FALSE,TRUE,FALSE,FALSE
Deividas Uosis,Brisbane Lions,MEDIUM_DEFENDER,2000-06-28,182,78,TRUE,FALSE,FALSE,FALSE
Dayne Zorko,Brisbane Lions,MEDIUM_DEFENDER,1989-02-09,175,82,TRUE,TRUE,FALSE,FALSE
Daniel Rich,Brisbane Lions,MEDIUM_DEFENDER,1990-06-07,183,95,TRUE,FALSE,FALSE,FALSE
Mitch Robinson,Brisbane Lions,MIDFIELDER,1989-06-07,184,89,FALSE,TRUE,FALSE,FALSE
Ryan Lester,Brisbane Lions,MEDIUM_DEFENDER,1992-08-26,192,84,TRUE,FALSE,FALSE,FALSE
Cameron Ellis-Yolmen,Brisbane Lions,MIDFIELDER_FORWARD,1993-01-28,190,100,FALSE,TRUE,FALSE,FALSE
Lachie Neale,Brisbane Lions,MIDFIELDER,1993-05-24,178,84,FALSE,TRUE,FALSE,FALSE
Lincoln McCarthy,Brisbane Lions,MEDIUM_FORWARD,1993-10-22,178,82,FALSE,FALSE,FALSE,TRUE
Jarryd Lyons,Brisbane Lions,MIDFIELDER,1992-07-22,184,88,FALSE,TRUE,FALSE,FALSE
Marcus Adams,Brisbane Lions,KEY_DEFENDER,1993-06-30,192,98,TRUE,FALSE,FALSE,FALSE
Joe Daniher,Brisbane Lions,KEY_FORWARD,1994-03-04,201,97,FALSE,FALSE,FALSE,TRUE
Darcy Gardiner,Brisbane Lions,KEY_DEFENDER,1995-09-22,192,91,TRUE,FALSE,FALSE,FALSE
Daniel McStay,Brisbane Lions,KEY_FORWARD,1995-06-24,195,98,FALSE,FALSE,FALSE,TRUE
Darcy Fort,Brisbane Lions,RUCK,1993-08-06,204,98,FALSE,FALSE,TRUE,TRUE
Nakia Cockatoo,Brisbane Lions,MEDIUM_FORWARD,1996-10-23,185,90,FALSE,FALSE,FALSE,TRUE
Callum Ah Chee,Brisbane Lions,MIDFIELDER,1997-10-09,183,81,TRUE,TRUE,FALSE,FALSE
Charlie Cameron,Brisbane Lions,MEDIUM_FORWARD,1994-07-05,180,76,FALSE,FALSE,FALSE,TRUE
Rhys Mathieson,Brisbane Lions,MIDFIELDER_FORWARD,1997-01-10,186,86,FALSE,TRUE,FALSE,FALSE
Eric Hipwood,Brisbane Lions,KEY_FORWARD,1997-09-13,203,92,FALSE,FALSE,FALSE,TRUE
Harris Andrews,Brisbane Lions,KEY_DEFENDER,1996-12-11,202,100,TRUE,FALSE,FALSE,FALSE
Mitch Cox,Brisbane Lions,MIDFIELDER,1997-03-24,190,81,TRUE,TRUE,FALSE,FALSE
Jarrod Berry,Brisbane Lions,MIDFIELDER,1998-02-05,192,90,FALSE,TRUE,FALSE,FALSE
John Noble,Collingwood,MEDIUM_DEFENDER,1997-03-25,180,75,TRUE,FALSE,FALSE,FALSE
Callum L. Brown,Collingwood,MEDIUM_FORWARD,1998-04-27,179,81,FALSE,FALSE,FALSE,TRUE
Patrick Lipinski,Collingwood,MIDFIELDER_FORWARD,1998-07-17,190,86,FALSE,TRUE,FALSE,TRUE
Beau McCreery,Collingwood,MEDIUM_FORWARD,2001-04-19,186,84,FALSE,FALSE,FALSE,TRUE
Josh Daicos,Collingwood,MIDFIELDER,1998-11-26,178,78,FALSE,TRUE,FALSE,FALSE
Nathan Murphy,Collingwood,MIDFIELDER,1999-12-15,192,97,FALSE,TRUE,FALSE,FALSE
Isaac Quaynor,Collingwood,MEDIUM_DEFENDER,2000-01-15,180,87,TRUE,FALSE,FALSE,FALSE
Tyler Brown,Collingwood,MIDFIELDER,1999-12-09,192,84,FALSE,TRUE,FALSE,FALSE
Will Kelly,Collingwood,KEY_FORWARD,2000-08-16,194,92,TRUE,FALSE,FALSE,TRUE
Trent Bianco,Collingwood,MEDIUM_FORWARD,2001-01-20,178,75,FALSE,FALSE,FALSE,TRUE
Charlie Dean,Collingwood,KEY_DEFENDER,2001-06-19,195,89,TRUE,FALSE,FALSE,FALSE
Trey Ruscoe,Collingwood,MEDIUM_DEFENDER,2001-11-03,193,93,TRUE,FALSE,FALSE,FALSE
Jack Madgen,Collingwood,KEY_DEFENDER,1993-04-25,192,94,TRUE,FALSE,FALSE,FALSE
Caleb Poulter,Collingwood,MIDFIELDER,2002-10-12,194,84,FALSE,TRUE,FALSE,FALSE
Arlo Draper,Collingwood,MIDFIELDER,2003-01-30,186,78,FALSE,TRUE,FALSE,FALSE
Cooper Murley,Collingwood,MIDFIELDER_FORWARD,2003-06-20,178,67,FALSE,TRUE,FALSE,TRUE
Finlay Macrae,Collingwood,MIDFIELDER,2002-03-13,188,83,FALSE,TRUE,FALSE,FALSE
Liam McMahon,Collingwood,KEY_FORWARD,2002-05-02,198,89,FALSE,FALSE,FALSE,TRUE
Jack Ginnivan,Collingwood,MEDIUM_FORWARD,2002-12-09,185,80,FALSE,FALSE,FALSE,TRUE
Oliver Henry,Collingwood,MEDIUM_FORWARD,2002-07-29,189,80,FALSE,FALSE,FALSE,TRUE
Reef McInnes,Collingwood,MEDIUM_FORWARD,2002-12-12,194,87,FALSE,TRUE,FALSE,FALSE
Mark Keane,Collingwood,KEY_DEFENDER,2000-03-17,194,96,FALSE,FALSE,FALSE,FALSE
Harvey Harrison,Collingwood,MIDFIELDER,2003-11-10,181,76,FALSE,TRUE,FALSE,FALSE
Aiden Begg,Collingwood,RUCK,2002-10-08,197,90,FALSE,FALSE,TRUE,FALSE
Isaac Chugg,Collingwood,MIDFIELDER,2002-02-26,181,84,TRUE,FALSE,FALSE,FALSE
Nick Daicos,Collingwood,MEDIUM_DEFENDER,2003-01-03,184,73,TRUE,TRUE,FALSE,FALSE
Scott Pendlebury,Collingwood,MEDIUM_DEFENDER,1988-01-07,191,86,TRUE,TRUE,FALSE,FALSE
Jordan Roughead,Collingwood,KEY_DEFENDER,1990-11-03,200,98,TRUE,FALSE,FALSE,FALSE
Steele Sidebottom,Collingwood,MIDFIELDER,1991-01-02,184,84,FALSE,TRUE,FALSE,TRUE
Jeremy Howe,Collingwood,KEY_DEFENDER,1990-06-29,190,85,TRUE,FALSE,FALSE,FALSE
Will Hoskin-Elliott,Collingwood,MEDIUM_FORWARD,1993-09-02,186,83,FALSE,TRUE,FALSE,TRUE
Taylor Adams,Collingwood,MIDFIELDER,1993-09-20,181,84,FALSE,TRUE,FALSE,FALSE
Brody Mihocek,Collingwood,KEY_FORWARD,1993-02-04,192,97,FALSE,FALSE,FALSE,TRUE
Jamie Elliott,Collingwood,MEDIUM_FORWARD,1992-08-21,178,80,FALSE,FALSE,FALSE,TRUE
Jack Crisp,Collingwood,MIDFIELDER,1993-10-02,190,92,TRUE,TRUE,FALSE,FALSE
